netst,stla,stlo,geometry,index_right,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
CI.CHI,34.181561,-119.222443,POINT (-119.222443 34.181561),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
CI.CHK,34.067135,-118.971184,POINT (-118.971184 34.067135),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
CI.CHL,33.910843,-117.683685,POINT (-117.683685 33.910843),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
CI.CHR,34.729019,-119.392693,POINT (-119.392693 34.729019),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.CIA,33.401897,-118.415024,POINT (-118.415024 33.401897),101,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,99153.5210574,194890894.641
CI.CJM,34.271172,-117.424477,POINT (-117.424477 34.271172),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.CJV2,34.529781,-118.144501,POINT (-118.144501 34.529781),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.CKP,33.555069,-114.890404,POINT (-114.890404 33.555069),73,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,4638890.80445,218013427405.0
CI.CLO,34.220379,-119.008911,POINT (-119.008911 34.220379),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
CI.CLT,34.092838,-117.316872,POINT (-117.316872 34.092838),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
CI.CPT2,33.341831,-117.32502,POINT (-117.32502 33.341831),108,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,3225298.63963,43710857026.2
CI.CRG,35.242199,-119.724861,POINT (-119.724861 35.242199),118,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,"11.1.1  California Coastal Sage, Chaparral, and Oak Woodlands",11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,4703653.76328,78810793556.8
CI.CRR,32.886822,-115.969177,POINT (-115.969177 32.886822),73,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,4638890.80445,218013427405.0
CI.CRY,34.778252,-119.628098,POINT (-119.628098 34.778252),136,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,11,MEDITERRANEAN CALIFORNIA,11.1.3  Southern and Baja California Pine-Oak Mountains,11.1  MEDITERRANEAN CALIFORNIA,11  MEDITERRANEAN CALIFORNIA,1373980.5933,17918708727.5
CI.CTC,33.655159,-115.990059,POINT (-115.990059 33.655159),73,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,4638890.80445,218013427405.0
CI.CTW,33.67728,-115.872139,POINT (-115.872139 33.67728),73,10.2.2,Sonoran Desert,10.2,WARM DESERTS,10,NORTH AMERICAN DESERTS,10.2.2  Sonoran Desert,10.2  WARM DESERTS,10  NORTH AMERICAN DESERTS,4638890.80445,218013427405.0
