netst,stla,stlo,geometry,index_right,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
TA.C08A,47.784901,-119.045403,POINT (-119.045403 47.784901),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.C10A,47.819199,-117.307701,POINT (-117.307701 47.819199),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.C12B,47.709202,-115.474998,POINT (-115.474998 47.709202),1141,6.2.3,Columbia Mountains/Northern Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.3  Columbia Mountains/Northern Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,4035441.6383,178711089415.0
TA.C14A,47.7687,-113.746803,POINT (-113.746803 47.7687),1142,6.2.4,Canadian Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.4  Canadian Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3553150.36602,104576364956.0
TA.D06A,47.193501,-120.844498,POINT (-120.844498 47.193501),1145,6.2.5,North Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.5  North Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1359680.28228,35164052009.7
TA.D15A,47.041801,-112.520401,POINT (-112.520401 47.041801),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.E04A,46.593399,-122.720398,POINT (-122.720398 46.593399),1492,7.1.7,Strait of Georgia/Puget Lowland,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.7  Strait of Georgia/Puget Lowland,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,2131725.94873,14361827609.9
TA.E07A,46.558498,-119.854797,POINT (-119.854797 46.558498),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.E10A,46.485001,-117.110199,POINT (-117.110199 46.485001),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.E13A,46.442299,-114.188004,POINT (-114.188004 46.442299),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.E14A,46.416199,-113.492599,POINT (-113.492599 46.416199),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.E16A,46.5336,-111.676399,POINT (-111.676399 46.5336),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
