netst,stla,stlo
CI.SWS,32.94508,-115.799881
CI.SYP,34.527748,-119.97834
CI.TA2,34.38203,-117.678223
CI.THM,33.650661,-116.077339
CI.TIN,37.054218,-118.230087
CI.TOW2,35.808559,-117.764877
CI.TPO,34.87883,-118.228638
CI.TUQ,35.435841,-115.923889
CI.USC,34.019192,-118.286308
CI.VCS,34.483719,-118.117813
CI.VDJ,34.189861,-114.571449
CI.VOG,36.32098,-119.382263
CI.VTV,34.56065,-117.329597
CI.WBS,35.53664,-118.14035
CI.WES,32.759041,-115.731613
CI.WGR,34.510849,-119.274071
CI.WMD,33.038261,-115.581909
CI.WMF,36.11758,-117.854858
CI.WOR,35.695629,-118.242462
CI.WRC2,35.947899,-117.650383
CI.WSS,34.1717,-118.649712
CI.WTT2,33.948669,-118.255386
CI.WWC,33.940681,-116.40876
CI.XTL2,34.295959,-117.862488
CI.YEG2,35.438309,-119.963058
